Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,ZEEL,EQ,223.5,223.5,226.25,223.0,224.7,224.95,225.1,6985802,157252489815000.0,42371,624002,0.0893
2021-01-04,ZEEL,EQ,224.95,226.9,228.2,216.0,219.15,219.05,220.21,26346595,580188753940000.0,141875,5389275,0.2046
2021-01-05,ZEEL,EQ,219.05,218.0,223.0,215.15,221.35,222.5,219.7,20605048,452699222250000.0,108664,3115210,0.1512
2021-01-06,ZEEL,EQ,222.5,222.5,225.3,217.0,220.75,221.2,222.0,14154683,314237468450000.0,76086,2349150,0.166
2021-01-07,ZEEL,EQ,221.2,223.75,224.6,218.1,218.95,218.95,220.28,14428798,317836471860000.0,82877,5532819,0.3835
2021-01-08,ZEEL,EQ,218.95,221.85,236.85,220.7,230.45,231.15,231.48,44035673,1019352662429999.9,214941,8383376,0.19039999999999999
2021-01-11,ZEEL,EQ,231.15,234.0,234.0,222.5,223.9,223.65,226.26,18011706,407531564435000.0,120416,4094721,0.2273
2021-01-12,ZEEL,EQ,223.65,225.0,229.7,223.7,226.0,226.15,226.43,13723435,310742674180000.0,89040,2855922,0.20809999999999998
2021-01-13,ZEEL,EQ,226.15,228.6,232.7,223.5,228.45,227.9,228.56,13442449,307234953600000.0,82993,1651930,0.1229
