Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,PAGEIND,EQ,27610.25,27700.0,28260.45,27635.0,28125.0,28155.55,28042.68,43335,121522943495000.0,13054,7348,0.1696
2021-01-04,PAGEIND,EQ,28155.55,28250.0,28675.05,28150.0,28489.0,28516.2,28496.13,45099,128514680875000.0,13626,6399,0.1419
2021-01-05,PAGEIND,EQ,28516.2,28490.0,28750.0,28126.55,28649.35,28597.4,28519.52,36688,104632431665000.0,11536,4639,0.1264
2021-01-06,PAGEIND,EQ,28597.4,28790.0,29422.45,28407.7,28750.0,28748.75,28932.96,61303,177367700160000.0,19641,8982,0.14650000000000002
2021-01-07,PAGEIND,EQ,28748.75,29048.0,29048.0,28450.0,28599.0,28666.7,28747.54,36051,103637761805000.0,11622,6767,0.1877
2021-01-08,PAGEIND,EQ,28666.7,28889.0,29989.95,28700.0,29899.25,29843.3,29447.83,55712,164059763960000.0,19370,14394,0.2584
2021-01-11,PAGEIND,EQ,29843.3,29947.0,30084.2,29234.75,29751.0,29718.5,29584.69,39088,115640628550000.0,14392,6768,0.1731
2021-01-12,PAGEIND,EQ,29718.5,29820.0,30550.0,29719.0,29999.9,30049.65,30134.04,43450,130932409445000.0,15350,7568,0.17420000000000002
2021-01-13,PAGEIND,EQ,30049.65,30050.0,30314.3,28850.0,29040.0,28982.45,29322.04,54863,160869499295000.0,18669,14923,0.272
