Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,CROMPTON,EQ,380.55,382.0,385.9,373.25,376.45,378.05,380.69,530682,20202280215000.0,17882,137205,0.2585
2021-01-04,CROMPTON,EQ,378.05,380.0,380.45,369.0,373.55,373.7,372.76,1018281,37956998080000.0,23255,549055,0.5392
2021-01-05,CROMPTON,EQ,373.7,375.15,379.9,367.05,378.0,377.35,374.11,824289,30837435964999.996,31968,543681,0.6596
2021-01-06,CROMPTON,EQ,377.35,374.4,385.35,373.1,383.0,383.9,381.07,984770,37526837510000.0,34021,654169,0.6643000000000001
2021-01-07,CROMPTON,EQ,383.9,388.0,402.0,385.5,393.2,395.05,393.44,1742941,68573998304999.99,41530,1108808,0.6362
2021-01-08,CROMPTON,EQ,395.05,399.9,405.4,390.85,399.05,400.15,400.69,1882075,75412533520000.0,63099,1550203,0.8237000000000001
2021-01-11,CROMPTON,EQ,400.15,404.4,408.8,387.0,400.0,399.85,396.02,1245256,49314949005000.0,67376,745199,0.5984
2021-01-12,CROMPTON,EQ,399.85,399.65,405.4,391.5,402.7,403.3,397.32,1056087,41960342515000.0,41403,551505,0.5222
2021-01-13,CROMPTON,EQ,403.3,405.15,405.4,394.3,397.25,400.7,398.49,1189130,47385182540000.0,40975,555206,0.4669
