Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,IGL,EQ,502.35,503.0,509.5,501.0,505.5,507.15,506.19,1389032,70311615175000.0,24782,256089,0.1844
2021-01-04,IGL,EQ,507.15,510.95,513.9,505.05,507.2,506.7,508.23,2613216,132811615525000.0,34886,706964,0.2705
2021-01-05,IGL,EQ,506.7,511.75,529.7,508.2,518.5,519.05,521.85,10861519,566813043605000.0,114425,1668007,0.1536
2021-01-06,IGL,EQ,519.05,522.85,545.3,521.0,543.0,542.4,532.88,7179407,382577228005000.0,108996,1782926,0.2483
2021-01-07,IGL,EQ,542.4,546.65,549.65,537.85,540.0,540.0,544.29,4185940,227838006835000.0,64143,1139404,0.2722
2021-01-08,IGL,EQ,540.0,543.55,553.75,541.05,550.0,550.7,550.01,3552973,195416731850000.0,60239,1363883,0.3839
2021-01-11,IGL,EQ,550.7,550.0,560.0,547.1,556.0,557.5,554.54,2257669,125197888400000.0,44658,749099,0.3318
2021-01-12,IGL,EQ,557.5,555.0,572.95,554.65,568.0,567.2,566.29,3682728,208548966245000.0,54152,921564,0.2502
2021-01-13,IGL,EQ,567.2,570.05,570.05,560.0,565.95,565.6,564.39,1786744,100841397180000.0,51450,664419,0.3719
